Object1ID	Object1Type	Object1PrefName	Object1TextSynonyms	Object2ID	Object2Type	Object2PrefName	Object2TextSynonyms	Predicate	Direction	ConfidenceScore	n_sentences	n_pmids	SupportPMIDs
3052230	Species	Orthohepacivirus hominis	HCV	8552	Disease	chronic myeloid leukemia	chronic	leads to	->	0.181957	1	1	22701688
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2		Disease	mental illness	mental illness	increases risk of	->	0.181833	1	1	41160025
	Disease	unipolar mood, anxiety, and trauma disorders	unipolar mood, anxiety, and trauma disorders	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.181273	1	1	31297682
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	0081008	Disease	Lodder-Merla syndrome type 1 with impaired intellectual development and cardiac arrhythmia	LOD	leads to	->	0.18113	1	1	35185890
10566	Species	Human papillomavirus	Human Papillomavirus	3312	Disease	bipolar disorder	Bipolar Disorder	leads to	->	0.180761	1	1	41025852
10566	Species	Human papillomavirus	Human Papillomavirus	5419	Disease	schizophrenia	Schizophrenia	leads to	->	0.179923	1	1	41025852
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0080599	Disease	Coronavirus infectious disease	coronavirus disease	causes	->	0.179109	1	1	34281040
12721	Species	Human immunodeficiency virus	HIV	0043264	Disease	post-traumatic epilepsy	trauma-impacted	increases risk of	->	0.178241	1	1	24294927
0005109	Disease	HIV infectious disease	HIV disease	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.178073	1	1	25892152
10359	Species	Human betaherpesvirus 5	human cytomegalovirus	0000061	Disease	inflammation	inflammation	causes	->	0.174676	1	1	33500556
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	0100320	Disease	post-COVID-19 disorder	COVID-19	increases risk of	->	0.174457	1	1	41160025
	Disease	catatonic behaviour	catatonic behaviour	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.173736	1	1	33634761
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	5419	Disease	schizophrenia	schizophrenia	leads to	->	0.173379	1	1	35185890
784	Disease	chronic kidney disease	chronic disease	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.170308	1	1	26724694
2800	Disease	acute interstitial pneumonia	interstitial pneumonia	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.168729	1	1	33634761
694002	Species	Betacoronavirus	Coronavirus	1470	Disease	major depressive disorder	major depressive disorder; MDD	increases risk of	->	0.168353	2	1	36496170
12721	Species	Human immunodeficiency virus	HIV	778	Disease	delusional disorder	psychiatric disorder	leads to	->	0.168104	1	1	18045694
12721	Species	Human immunodeficiency virus	HIV		Disease	SUDs	SUDs	increases risk of	->	0.166317	1	1	22614744
2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	29040	Disease	SZT2	SZ	leads to	->	0.166132	1	1	35185890
12721	Species	Human immunodeficiency virus	HIV		Disease	posttraumatic stress disorder	posttraumatic stress disorder	increases risk of	->	0.165363	1	1	23417876
12721	Species	Human immunodeficiency virus	HIV	1203	Disease	drug-induced mental disorder	Mental Disorders	increases risk of	->	0.165211	1	1	23417876
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0080848	Disease	long COVID	COVID	leads to	->	0.164391	2	1	38193771
837	Species	Porphyromonas gingivalis	Porphyromonas gingivalis		Disease	MD-related	MD-related	causes	->	0.1639	1	1	37735127
603	Disease	AIDS phobia	AIDS	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.163364	1	1	26724694
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	central nervous system impairment	central nervous system impairment	increases risk of	->	0.16065	1	1	35578886
0000451	Disease	septic shock	septic shock	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.159774	1	1	33634761
1883	Disease	hepatitis C	hepatitis C	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.158449	1	1	31933016
8986	Disease	narcolepsy	narcolepsy	114727	Species	H1N1 subtype	H1N1	is associated with	<->	0.158288	1	1	25325473
12721	Species	Human immunodeficiency virus	HIV		Disease	HIV positive	HIV positive	increases risk of	->	0.157405	1	1	22208452
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	9389	Disease	infectious anterior uveitis	infection	increases risk of	->	0.157265	1	1	35578886
12721	Species	Human immunodeficiency virus	HIV		Disease	neurotoxic	neurotoxic	increases risk of	->	0.15706	1	1	22208452
28449	Species	Neisseria subflava	Neisseria subflava	5419	Disease	schizophrenia	schizophrenia	increases risk of	->	0.156481	1	1	32334937
